"Index","SMU-1 Time (s)","SMU-1 Voltage (V)","SMU-1 Current (A)"
"1","0","-9.99963283538818","-2.01373450181563E-06"
"2","0.025039","-9.89911270141602","-1.99226496988558E-06"
"3","0.050078","-9.79827880859375","-1.97159056369856E-06"
"4","0.075117","-9.69783973693848","-1.95132838598511E-06"
"5","0.100156","-9.59737014770508","-1.92605125448608E-06"
"6","0.125195","-9.49698925018311","-1.90594425930612E-06"
"7","0.150234","-9.39663124084473","-1.88505521236948E-06"
"8","0.175273","-9.29625034332275","-1.8657887039808E-06"
"9","0.200312","-9.19580936431885","-1.84024213467637E-06"
"10","0.225351","-9.09530162811279","-1.82072756160778E-06"
"11","0.25039","-8.99458122253418","-1.7995560028794E-06"
"12","0.275429","-8.89404296875","-1.77840229298454E-06"
"13","0.300468","-8.79359722137451","-1.75875902641565E-06"
"14","0.325507","-8.6931209564209","-1.73456191987498E-06"
"15","0.350546","-8.59263229370117","-1.71827548456349E-06"
"16","0.375585","-8.49217891693115","-1.69597865351534E-06"
"17","0.400624","-8.39167785644531","-1.67265170603059E-06"
"18","0.425663","-8.2908821105957","-1.65213816671894E-06"
"19","0.450702","-8.19041728973389","-1.63400761721277E-06"
"20","0.475741","-8.08993148803711","-1.61222806127626E-06"
"21","0.50078","-7.98951148986816","-1.58976433795033E-06"
"22","0.525819","-7.889084815979","-1.56960607000656E-06"
"23","0.550858","-7.78857946395874","-1.55086752329225E-06"
"24","0.575897","-7.6881217956543","-1.5276776821338E-06"
"25","0.600936","-7.58758068084717","-1.50631660744693E-06"
"26","0.625975","-7.48686790466309","-1.4855659173918E-06"
"27","0.651014","-7.38640069961548","-1.46740433137893E-06"
"28","0.676053","-7.28588581085205","-1.44584419103921E-06"
"29","0.701092","-7.18540906906128","-1.42449255235988E-06"
"30","0.726131","-7.08493232727051","-1.403882492923E-06"
"31","0.75117","-6.98447942733765","-1.38227812840341E-06"
"32","0.776209","-6.8840217590332","-1.36318317345285E-06"
"33","0.801248","-6.78319931030273","-1.34224296743923E-06"
"34","0.826287","-6.68275833129883","-1.32183788537077E-06"
"35","0.851326","-6.58229827880859","-1.30439877921162E-06"
"36","0.876365","-6.48181438446045","-1.282167431782E-06"
"37","0.901404","-6.38134717941284","-1.25846383980388E-06"
"38","0.926443","-6.2808895111084","-1.24089240216563E-06"
"39","0.951482","-6.18038654327393","-1.22275946523587E-06"
"40","0.976521","-6.07993125915527","-1.19965784506348E-06"
"41","1.00156","-5.97907543182373","-1.1834060842375E-06"
"42","1.026599","-5.87861776351929","-1.15832801839133E-06"
"43","1.051638","-5.77811241149902","-1.14091869818367E-06"
"44","1.076677","-5.67763090133667","-1.11850260964275E-06"
"45","1.101716","-5.57718276977539","-1.09586596863664E-06"
"46","1.126755","-5.47671556472778","-1.080162519429E-06"
"47","1.151794","-5.37623167037964","-1.05914114101324E-06"
"48","1.176833","-5.27543306350708","-1.03887441582629E-06"
"49","1.201872","-5.17497539520264","-1.01663226814708E-06"
"50","1.247509","-5.07436990737915","-7.54828590743273E-07"
"51","1.272549","-4.97387647628784","-7.38863491278607E-07"
"52","1.297588","-4.87343311309814","-7.2310757559535E-07"
"53","1.322627","-4.77296590805054","-7.32519254142971E-07"
"54","1.347772","-4.67243432998657","-6.97517009484727E-07"
"55","1.372811","-4.57197189331055","-6.84885492319154E-07"
"56","1.39785","-4.47118759155273","-6.70593010454468E-07"
"57","1.422889","-4.37068223953247","-6.77794105286011E-07"
"58","1.448035","-4.2702054977417","-6.41188023564609E-07"
"59","1.473074","-4.16975736618042","-6.27889846782637E-07"
"60","1.498113","-4.06927108764648","-6.13266365689924E-07"
"61","1.523152","-3.96878957748413","-6.24833717211004E-07"
"62","1.548297","-3.86831998825073","-5.88465070450184E-07"
"63","1.573336","-3.76753568649292","-5.73505019474396E-07"
"64","1.598375","-3.66701126098633","-5.5616328609176E-07"
"65","1.623414","-3.56659650802612","-5.61282149647013E-07"
"66","1.648559","-3.46606969833374","-5.25597101841413E-07"
"67","1.673598","-3.36548805236816","-5.0806107765311E-07"
"68","1.698637","-3.26507329940796","-5.02750367559202E-07"
"69","1.723676","-3.16464185714722","-5.04792694755452E-07"
"70","1.748822","-3.06415319442749","-4.72103948823133E-07"
"71","1.773861","-2.96334028244019","-4.56826342087879E-07"
"72","1.7989","-2.86287307739258","-4.41282139718169E-07"
"73","1.823939","-2.76235818862915","-4.50059303602757E-07"
"74","1.849085","-2.66187191009521","-4.10628331337648E-07"
"75","1.874125","-2.56139039993286","-3.98111950516977E-07"
"76","1.899164","-2.46092557907104","-3.79882692413958E-07"
"77","1.924203","-2.36047744750977","-3.86370771821021E-07"
"78","1.949349","-2.25966215133667","-3.49981434055735E-07"
"79","1.974388","-2.1592116355896","-3.41270435910701E-07"
"80","1.999427","-2.05862760543823","-3.24555031738782E-07"
"81","2.024467","-1.95993685722351","-3.33392392803944E-07"
"82","2.049613","-1.85939836502075","-2.97490231560005E-07"
"83","2.074652","-1.75888538360596","-2.88594947051024E-07"
"84","2.099691","-1.6583845615387","-2.73022777719234E-07"
"85","2.12473","-1.55787873268127","-2.75211448297341E-07"
"86","2.149855","-1.45736837387085","-2.45222565808945E-07"
"87","2.174894","-1.35685586929321","-2.25850826041096E-07"
"88","2.199933","-1.25631213188171","-2.12325687698467E-07"
"89","2.224972","-1.15581321716309","-2.09760187885877E-07"
"90","2.250096","-1.05528831481934","-1.83685656907073E-07"
"91","2.275135","-0.954776287078857","-1.68659568089424E-07"
"92","2.300174","-0.854267835617065","-1.53826476889662E-07"
"93","2.325213","-0.75372052192688","-1.36189342470061E-07"
"94","2.350252","-0.653184413909912","-1.22931126611547E-07"
"95","2.375292","-0.55268383026123","-1.06597539684117E-07"
"96","2.465619","-0.452168703079224","1.05367903291409E-09"
"97","2.490658","-0.351647138595581","3.50244055979942E-09"
"98","2.515697","-0.251086473464966","5.47388800953286E-09"
"99","2.540736","-0.150584772229195","6.9318413231656E-09"
"100","2.565775","-0.0500719547271729","8.08086397796615E-09"
"101","2.590814","0.0502869375050068","1.00598809282815E-08"
"102","2.615853","0.150805592536926","1.13382458977185E-08"
"103","2.640892","0.251335620880127","1.34979725174844E-08"
"104","2.665931","0.351840972900391","1.48161891644349E-08"
"105","2.69097","0.452379703521729","1.58856625631643E-08"
"106","2.716009","0.552929401397705","1.75870180640914E-08"
"107","2.741048","0.653423309326172","1.81694144174571E-08"
"108","2.766087","0.753980875015259","2.00495247071331E-08"
"109","2.791126","0.854455232620239","1.99174650106215E-08"
"110","2.816165","0.954980611801147","2.14432720468949E-08"
"111","2.841204","1.05548357963562","2.3421025119319E-08"
"112","2.866244","1.15601515769959","2.5393248392902E-08"
"113","2.891283","1.25654029846191","2.69174460498789E-08"
"114","2.916323","1.35703349113464","2.68240221146243E-08"
"115","2.941362","1.45756673812866","2.89243100581871E-08"
"116","2.966401","1.55806589126587","3.05439584735723E-08"
"117","2.99144","1.65857791900635","3.13462393819464E-08"
"118","3.016479","1.75906920433044","3.18665733800572E-08"
"119","3.041518","1.85960364341736","3.43412764891582E-08"
"120","3.066557","1.9600944519043","3.44419248676786E-08"
"121","3.091597","2.06090927124023","3.64701762123332E-08"
"122","3.116636","2.16148614883423","3.71538178001174E-08"
"123","3.141676","2.26194381713867","3.87973209114989E-08"
"124","3.166715","2.36240863800049","3.9597178869144E-08"
"125","3.191754","2.46294021606445","4.04504412188089E-08"
"126","3.216793","2.56344795227051","4.17564756105548E-08"
"127","3.241832","2.6639723777771","4.29865139039975E-08"
"128","3.266871","2.76446104049683","4.38396448032563E-08"
"129","3.29191","2.86526918411255","4.64272282840739E-08"
"130","3.316949","2.96575307846069","4.67592613517809E-08"
"131","3.341988","3.06627750396729","4.8855032019901E-08"
"132","3.367027","3.16678285598755","5.06199135941188E-08"
"133","3.392066","3.26726198196411","5.17390006393725E-08"
"134","3.417105","3.36775064468384","5.21650918017258E-08"
"135","3.442144","3.46832990646362","5.36359685554544E-08"
"136","3.467183","3.56878519058228","5.46601768292021E-08"
"137","3.492222","3.66931200027466","5.56249020178257E-08"
"138","3.517261","3.76983404159546","5.63742759140951E-08"
"139","3.5423","3.87035131454468","5.77646979138535E-08"
"140","3.567339","3.97080898284912","5.8631204780113E-08"
"141","3.592378","4.07132863998413","5.95856661789185E-08"
"142","3.617417","4.17179107666016","6.08923187428445E-08"
"143","3.642456","4.27261829376221","6.22630338398267E-08"
"144","3.667495","4.37310695648193","6.31632701697527E-08"
"145","3.692534","4.4736385345459","6.48511431222687E-08"
"146","3.717573","4.57412719726563","6.4908412866771E-08"
"147","3.742612","4.67460870742798","6.56204477422762E-08"
"148","3.767651","4.77519273757935","6.71947830710451E-08"
"149","3.79269","4.87566709518433","6.84520813365452E-08"
"150","3.817729","4.97615098953247","6.97576680863676E-08"
"151","3.842768","5.07664918899536","7.03929927681202E-08"
"152","3.867807","5.17717599868774","7.08289249473637E-08"
