"Index","SMU-1 Time (s)","SMU-1 Voltage (V)","SMU-1 Current (A)","SMU-1 Resistance (Ω)"
"1","0","-10.0071258544922","-2.06659660761943E-06","4842321.82400593"
"2","0.02504","-9.90657329559326","-2.05930587071634E-06","4810637.13577779"
"3","0.050079","-9.80575084686279","-2.03447575586324E-06","4819792.42986956"
"4","0.075119","-9.70517158508301","-2.00857266463572E-06","4831874.77155234"
"5","0.100158","-9.60469245910645","-1.98750012714299E-06","4832549.35581467"
"6","0.125198","-9.50419902801514","-1.95849179362995E-06","4852815.34440319"
"7","0.150237","-9.40379333496094","-1.93078744814557E-06","4870444.61781273"
"8","0.175277","-9.30335998535156","-1.91131834981206E-06","4867509.37449345"
"9","0.200316","-9.20287895202637","-1.88632009212597E-06","4878747.2446706"
"10","0.225355","-9.10237503051758","-1.8651401205716E-06","4880263.38081669"
"11","0.250394","-9.00158405303955","-1.84627890575939E-06","4875527.75745825"
"12","0.275434","-8.90100955963135","-1.82422866146226E-06","4879327.76612364"
"13","0.300473","-8.80053043365479","-1.80476308742072E-06","4876280.15831821"
"14","0.325513","-8.70004844665527","-1.78191294253338E-06","4882420.59361567"
"15","0.350552","-8.59943389892578","-1.77500362497085E-06","4844741.59824153"
"16","0.375591","-8.4989070892334","-1.74725414581189E-06","4864150.47839776"
"17","0.400631","-8.39836883544922","-1.72507520801446E-06","4868407.35779609"
"18","0.425671","-8.29753684997559","-1.7039465092239E-06","4869599.37125896"
"19","0.450711","-8.1970386505127","-1.68331018812751E-06","4869594.8663098"
"20","0.47575","-8.09650421142578","-1.66133042966976E-06","4873506.23742876"
"21","0.500789","-7.99598932266235","-1.63730021540687E-06","4883642.74762852"
"22","0.525828","-7.89549350738525","-1.62008996085206E-06","4873490.79259325"
"23","0.550867","-7.79493093490601","-1.60225988565799E-06","4864960.42538376"
"24","0.575906","-7.69438028335571","-1.57968395342323E-06","4870835.24946983"
"25","0.600945","-7.59386777877808","-1.55924908540328E-06","4870208.2623406"
"26","0.625985","-7.49304294586182","-1.53998246332776E-06","4865667.71005304"
"27","0.651024","-7.39251852035522","-1.52050608903664E-06","4861880.24741088"
"28","0.676063","-7.2919750213623","-1.49903769397497E-06","4864437.39918662"
"29","0.701103","-7.19141960144043","-1.47830837704532E-06","4864627.51148974"
"30","0.726142","-7.09089517593384","-1.4540719348588E-06","4876577.97798181"
"31","0.751181","-6.99034929275513","-1.43281101827597E-06","4878765.72945835"
"32","0.77622","-6.88982248306274","-1.41321174851328E-06","4875293.80527084"
"33","0.80126","-6.78898096084595","-1.3907313132222E-06","4881590.63961569"
"34","0.8263","-6.68846130371094","-1.37191648263979E-06","4875268.56652473"
"35","0.851338","-6.58795833587646","-1.35175343984884E-06","4873639.03924164"
"36","0.876378","-6.48744106292725","-1.33078685848886E-06","4874891.13793464"
"37","0.901418","-6.38694524765015","-1.30969044676021E-06","4876683.08450257"
"38","0.926457","-6.28635168075562","-1.28920555653167E-06","4876143.79949439"
"39","0.951496","-6.18587017059326","-1.26742838801874E-06","4880646.69299626"
"40","0.976535","-6.08531475067139","-1.24667280942958E-06","4881244.46498174"
"41","1.001575","-5.98439455032349","-1.22459880458337E-06","4886820.5063776"
"42","1.026614","-5.88390111923218","-1.20589606922294E-06","4879277.13623252"
"43","1.051654","-5.78333616256714","-1.18173477403616E-06","4893937.53118936"
"44","1.076693","-5.68285226821899","-1.1639999684121E-06","4882175.62065006"
"45","1.101732","-5.58235645294189","-1.14281056085019E-06","4884760.99554847"
"46","1.126771","-5.48178434371948","-1.12191912648996E-06","4886077.983954"
"47","1.151811","-5.38126707077026","-1.09868994968565E-06","4897894.1441213"
"48","1.17685","-5.28039216995239","-1.0797809864016E-06","4890243.70353977"
"49","1.201889","-5.17989158630371","-1.05848073417292E-06","4893704.1734172"
"50","1.226928","-5.079345703125","-1.03865977507667E-06","4890288.25897304"
"51","1.251967","-4.97881889343262","-1.02009289548732E-06","4880750.48405676"
"52","1.297618","-4.87818241119385","-7.14041561877821E-07","6831790.57303747"
"53","1.322657","-4.77765798568726","-7.21934895864251E-07","6617851.57229139"
"54","1.347803","-4.67707872390747","-6.82810764374153E-07","6849743.68878669"
"55","1.372842","-4.57654714584351","-6.69657367780019E-07","6834162.31350551"
"56","1.397881","-4.47571277618408","-6.54481539186236E-07","6838562.29428421"
"57","1.42292","-4.37515258789063","-6.67209519633616E-07","6557389.33445247"
"58","1.448066","-4.27454948425293","-6.25996449343802E-07","6828392.53918087"
"59","1.473105","-4.1740608215332","-6.14788518760179E-07","6789425.45958873"
"60","1.498166","-4.07355308532715","-5.99902023168397E-07","6790363.97279105"
"61","1.523205","-3.97304534912109","-6.03657269948599E-07","6581624.28733675"
"62","1.548351","-3.87251138687134","-5.68609493711847E-07","6810493.72143231"
"63","1.57339","-3.7716817855835","-5.59059117222205E-07","6746481.1312332"
"64","1.59845","-3.6710524559021","-5.43269266017887E-07","6757335.05561721"
"65","1.623489","-3.57059955596924","-5.48932916899503E-07","6504619.13659103"
"66","1.648635","-3.47005605697632","-5.12989402068342E-07","6764381.5700388"
"67","1.673674","-3.36943387985229","-4.99969814882206E-07","6739274.61130056"
"68","1.698713","-3.26893329620361","-4.87530485315801E-07","6705084.90168802"
"69","1.723752","-3.16844463348389","-4.94207711199124E-07","6411159.84571773"
"70","1.748898","-3.06786298751831","-4.5571755435958E-07","6731939.46155876"
"71","1.773938","-2.96700477600098","-4.39157133769186E-07","6756134.75872713"
"72","1.798977","-2.86646604537964","-4.30161009035146E-07","6663704.95040715"
"73","1.824017","-2.76591539382935","-4.35951108102017E-07","6344554.10807693"
"74","1.849163","-2.66543626785278","-4.00500169916995E-07","6655268.75657806"
"75","1.874203","-2.56486892700195","-3.83222328537158E-07","6692900.53320381"
"76","1.899242","-2.46436357498169","-3.65991837725232E-07","6733383.97462242"
"77","1.924281","-2.36380815505981","-3.77697119802178E-07","6258475.45858405"
"78","1.949427","-2.26298093795776","-3.43686934911602E-07","6584425.26638323"
"79","1.974466","-2.16240406036377","-3.23302032256834E-07","6688495.10554867"
"80","1.999506","-2.06182956695557","-3.09340464355046E-07","6665243.65396019"
"81","2.024546","-1.96116018295288","-3.17638040314705E-07","6174198.09355904"
"82","2.049692","-1.86057496070862","-2.81815289326914E-07","6602107.94507424"
"83","2.074731","-1.760005235672","-2.65426393752932E-07","6630859.91858922"
"84","2.099771","-1.65945506095886","-2.51713629495498E-07","6592630.93653235"
"85","2.124811","-1.55890297889709","-2.55890739708775E-07","6092064.84248416"
"86","2.149957","-1.45834732055664","-2.18256232642489E-07","6681812.94481274"
"87","2.174996","-1.35778403282166","-2.0691859958788E-07","6561923.55605517"
"88","2.200035","-1.25718760490417","-1.89340596534748E-07","6639820.66135221"
"89","2.225074","-1.15664029121399","-1.94103478179386E-07","5958884.93118629"
"90","2.250221","-1.05606818199158","-1.65516738093174E-07","6380431.33376085"
