"Index","SMU-1 Time (s)","SMU-1 Voltage (V)","SMU-1 Current (A)","SMU-1 Resistance (Ω)"
"1","0","-10.0039958953857","-2.07318066713924E-06","4825433.7183214"
"2","0.025039","-9.90343570709229","-2.04951038540457E-06","4832098.32827334"
"3","0.050078","-9.80261325836182","-2.02681894734269E-06","4836452.34874766"
"4","0.075117","-9.70211219787598","-2.00532917915552E-06","4838164.37656469"
"5","0.100156","-9.60165500640869","-1.98612087842776E-06","4834375.94896516"
"6","0.125195","-9.50117301940918","-1.96440214494942E-06","4836674.12186308"
"7","0.150235","-9.40077972412109","-1.94153426491539E-06","4841933.46159192"
"8","0.175274","-9.30039215087891","-1.91714639186102E-06","4851164.30876766"
"9","0.200314","-9.19991683959961","-1.89677712114644E-06","4850288.80675186"
"10","0.225353","-9.09947872161865","-1.87663670203619E-06","4848822.74323288"
"11","0.250392","-8.99869155883789","-1.8547463014329E-06","4851710.20526413"
"12","0.275431","-8.89813899993896","-1.83355086846859E-06","4852954.53371895"
"13","0.30047","-8.79763126373291","-1.81424013590004E-06","4849209.91970473"
"14","0.325509","-8.69716167449951","-1.79210417172726E-06","4853044.71230433"
"15","0.350548","-8.59659957885742","-1.76909679794335E-06","4859315.54952298"
"16","0.375587","-8.49606323242188","-1.74821616383269E-06","4859847.08767111"
"17","0.400627","-8.39554786682129","-1.72978036516724E-06","4853534.03003252"
"18","0.425666","-8.29472064971924","-1.70640703345271E-06","4860927.36791871"
"19","0.450705","-8.19435119628906","-1.68275346368318E-06","4869608.87208837"
"20","0.475744","-8.09376239776611","-1.66236281984311E-06","4868830.25844501"
"21","0.500783","-7.99329519271851","-1.64041750849719E-06","4872719.99433928"
"22","0.525822","-7.89278984069824","-1.62286755767127E-06","4863483.65483625"
"23","0.550861","-7.7922797203064","-1.60010688432521E-06","4869849.50608003"
"24","0.5759","-7.69177675247192","-1.57825945734658E-06","4873581.91751539"
"25","0.600939","-7.59118318557739","-1.55750751673622E-06","4873930.36887861"
"26","0.625978","-7.49045848846436","-1.53627149757085E-06","4875738.76122043"
"27","0.651017","-7.38996028900146","-1.51609776821715E-06","4874329.64016012"
"28","0.676057","-7.28944063186646","-1.49377819980145E-06","4879868.13091484"
"29","0.701096","-7.18893766403198","-1.4741169707122E-06","4876775.59302416"
"30","0.726135","-7.08844423294067","-1.45262356454623E-06","4879753.02476589"
"31","0.751174","-6.98789119720459","-1.4291691741164E-06","4889477.97347011"
"32","0.776213","-6.88745975494385","-1.41070245263109E-06","4882290.90556845"
"33","0.801252","-6.78659439086914","-1.38930795401393E-06","4884874.0635664"
"34","0.826292","-6.68610811233521","-1.36957282848016E-06","4881893.07884774"
"35","0.851331","-6.58559083938599","-1.3485848739947E-06","4883334.35023526"
"36","0.87637","-6.48508548736572","-1.32850050249544E-06","4881507.74138526"
"37","0.901409","-6.38461589813232","-1.30759588046203E-06","4882713.37768085"
"38","0.926448","-6.28407716751099","-1.28640056118456E-06","4885008.10488172"
"39","0.951487","-6.18359327316284","-1.26414056467183E-06","4891539.31609503"
"40","0.976527","-6.08309984207153","-1.2425315389919E-06","4895730.73292524"
"41","1.001566","-5.98219156265259","-1.2239753459653E-06","4887509.85252458"
"42","1.026605","-5.88167428970337","-1.20205163511855E-06","4893029.64853361"
"43","1.051644","-5.78121423721313","-1.18079776711966E-06","4896024.02561733"
"44","1.076683","-5.68070888519287","-1.15946647838427E-06","4899416.23246321"
"45","1.101722","-5.58022022247314","-1.138634615927E-06","4900799.73366178"
"46","1.126761","-5.47968626022339","-1.11560939330957E-06","4911832.30715487"
"47","1.151801","-5.37920475006104","-1.09591360342165E-06","4908420.45692848"
"48","1.17684","-5.27836084365845","-1.0781013770611E-06","4895978.20387469"
"49","1.201879","-5.17783164978027","-1.05628851088113E-06","4901910.41220456"
"50","1.226918","-5.07734775543213","-1.03470802059746E-06","4907034.3076111"
"51","1.251957","-4.97684478759766","-1.01425769116759E-06","4906883.95162027"
"52","1.29759","-4.87625360488892","-7.7367769790726E-07","6302693.76780385"
"53","1.322694","-4.77576971054077","-7.45913837363332E-07","6402575.56747068"
"54","1.347733","-4.67516422271729","-7.31646991880552E-07","6389917.91752018"
"55","1.372772","-4.57470655441284","-7.39456197607069E-07","6186582.20624414"
"56","1.397918","-4.47385787963867","-7.24940036889166E-07","6171348.8729864"
"57","1.423064","-4.37335729598999","-6.91911907324538E-07","6320685.11857346"
"58","1.448103","-4.27280187606812","-6.73652778004907E-07","6342736.22194873"
"59","1.473143","-4.17230844497681","-6.84868325606658E-07","6092132.29605993"
"60","1.498289","-4.07184362411499","-6.47910496809345E-07","6284577.33617052"
"61","1.523328","-3.97131443023682","-6.37102743894502E-07","6233397.15343374"
"62","1.548367","-3.87082576751709","-6.21162541847298E-07","6231582.72874198"
"63","1.573406","-3.76998662948608","-6.26609903520148E-07","6016481.08066467"
"64","1.598552","-3.66943359375","-5.88687271374511E-07","6233247.72282291"
"65","1.623591","-3.56893062591553","-5.75813032810402E-07","6198071.98266503"
"66","1.648631","-3.46844673156738","-5.60320870590658E-07","6190108.04989496"
"67","1.673671","-3.36787462234497","-5.66589619666047E-07","5944116.35061374"
"68","1.698816","-3.26740741729736","-5.2962650443078E-07","6169267.19105388"
"69","1.723855","-3.16690921783447","-5.16706336384232E-07","6129031.12432417"
"70","1.748915","-3.06636571884155","-4.99273767218256E-07","6141651.97568071"
"71","1.773954","-2.96552658081055","-5.0657115480135E-07","5854116.54947757"
"72","1.7991","-2.86500930786133","-4.67402941239925E-07","6129634.7435492"
"73","1.824139","-2.76449203491211","-4.53453310456098E-07","6096530.71477523"
"74","1.849178","-2.66401052474976","-4.40572620163948E-07","6046700.14164387"
"75","1.874217","-2.56346702575684","-4.46549421440068E-07","5740612.1308812"
"76","1.899363","-2.46297836303711","-4.06200513225485E-07","6063454.58177668"
"77","1.924402","-2.36246585845947","-3.89610647744121E-07","6063658.35261011"
"78","1.949441","-2.26165294647217","-3.75968227217527E-07","6015542.7579885"
"79","1.97448","-2.16116666793823","-3.8296079196698E-07","5643310.52491811"
"80","1.999626","-2.06054449081421","-3.43277804404352E-07","6002556.71755307"
"81","2.024665","-1.96061873435974","-3.32946171965887E-07","5888695.8296689"
