Run History Comment: 60 degree
"Index","SMU-1 Time (s)","SMU-1 Voltage (V)","SMU-1 Current (A)","SMU-1 Resistance (Ω)"
"1","0","7.35044523025863E-05","-1.23192435808051E-07","-596.663681665614"
"2","0.02504","7.10725798853673E-05","-1.12165686516619E-07","-633.639235782122"
"3","0.050185","6.36339173070155E-05","-1.20341780984745E-07","-528.776596011006"
"4","0.075224","7.52449050196446E-05","-1.40945786597513E-07","-533.857072538928"
"5","0.10037","7.31468244339339E-05","-1.16416217110782E-07","-628.321605436872"
"6","0.125409","6.39438658254221E-05","-1.3543319710152E-07","-472.143220376686"
"7","0.150554","6.9737434387207E-05","-1.21049168910758E-07","-576.108328662874"
"8","0.175593","7.34806089894846E-05","-1.40972730378053E-07","-521.239879460577"
"9","0.200739","6.26802429906093E-05","-1.16154907914279E-07","-539.626298329699"
"10","0.225779","6.31570801488124E-05","-1.20991231256085E-07","-521.997168663711"
"11","0.250924","5.79595580347814E-05","-1.20686053151076E-07","-480.250671237274"
"12","0.275964","6.22034058324061E-05","-1.41009564913475E-07","-441.12898206994"
"13","0.30111","6.65664701955393E-05","-1.13802435919297E-07","-584.930099762935"
"14","0.326149","6.74247785354964E-05","-1.12165210452986E-07","-601.120242749044"
"15","0.351294","6.98089643265121E-05","-1.27433423813272E-07","-547.807335293783"
"16","0.376333","5.92946998949628E-05","-1.34852285782472E-07","-439.701111115092"
"17","0.401415","7.10487365722656E-05","-1.25186318200576E-07","-567.543942449284"
"18","0.426454","6.06536887062248E-05","-1.38721944153986E-07","-437.232112598547"
"19","0.451601","5.82695029152092E-05","-1.17696764334596E-07","-495.081604363879"
"20","0.476661","7.09056839696132E-05","-1.17504001195812E-07","-603.432081018706"
"21","0.5017","5.57422645215411E-05","-1.25290867458716E-07","-444.902854072013"
"22","0.526739","7.02142715454102E-05","-1.30841016243721E-07","-536.638078495355"
"23","0.551799","6.03914268140215E-05","-1.30582208157648E-07","-462.478217102232"
"24","0.576838","5.46932242286857E-05","-1.13572475868295E-07","-481.571118446963"
"25","0.601877","5.52892706764396E-05","-1.1666119092979E-07","-473.930278233782"
"26","0.626916","5.94139091845136E-05","-1.28742343008525E-07","-461.4947017127"
"27","0.651976","5.89847586525138E-05","-1.15356918684029E-07","-511.32397887705"
"28","0.677015","6.54697432764806E-05","-1.0930597937886E-07","-598.95848011717"
"29","0.702054","5.54323196411133E-05","-1.26487606166847E-07","-438.243092117607"
"30","0.727093","6.29186615697108E-05","-1.22758152087954E-07","-512.54161535953"
"31","0.752238","6.55889525660314E-05","-1.2767482360232E-07","-513.718763930525"
"32","0.777277","6.29663481959142E-05","-1.1648976538936E-07","-540.531161561299"
"33","0.802316","6.19888305664063E-05","-1.08444808688546E-07","-571.61639469934"
"34","0.827355","6.79492950439453E-05","-1.20990151231126E-07","-561.610133986381"
"35","0.8525","5.06877913721837E-05","-1.24188304084782E-07","-408.152697999479"
"36","0.877539","5.2142142521916E-05","-1.26178619552775E-07","-413.240711514579"
"37","0.902578","5.69105141039472E-05","-1.32043950884508E-07","-430.996753147168"
"38","0.927617","5.15460960741621E-05","-1.32433299881995E-07","-389.22307395566"
"39","0.952762","5.71012496948242E-05","-1.53787610202016E-07","-371.29941495167"
"40","0.977822","4.77313988085371E-05","-1.33785718503532E-07","-356.774993193889"
"41","1.002861","4.91619102831464E-05","-1.40821214245079E-07","-349.108694643032"
"42","1.0279","4.66346755274571E-05","-1.31581430196093E-07","-354.416846343429"
"43","1.053046","5.66720955248456E-05","-1.2425327611254E-07","-456.101418794912"
"44","1.078128","4.72307219752111E-05","-1.24984268268236E-07","-377.89333513436"
"45","1.103167","5.59330001124181E-05","-1.22712378924916E-07","-455.805686455167"
"46","1.128206","4.65869925392326E-05","-1.12167597876578E-07","-415.33378106656"
"47","1.153351","5.44071190233808E-05","-1.21629355476216E-07","-447.318978303884"
"48","1.17839","4.56810012110509E-05","-1.24911068155598E-07","-365.708194522423"
"49","1.203429","5.07354743604083E-05","-1.23999470247327E-07","-409.158799301419"
"50","1.228468","5.36918632860761E-05","-1.19226569950115E-07","-450.334714053596"
"51","1.253613","4.71830389869865E-05","-1.16641523106864E-07","-404.513227624425"
"52","1.278652","4.90665443066973E-05","-1.22692583204298E-07","-399.914510113424"
"53","1.303691","5.55992119188886E-05","-1.17491957496441E-07","-473.217172507939"
"54","1.32873","4.63247306470294E-05","-1.2806451366032E-07","-361.729641748391"
"55","1.353875","5.43117530469317E-05","-1.21221418680761E-07","-448.037596309301"
"56","1.378914","5.57899475097656E-05","-1.23597146739485E-07","-451.38539991832"
"57","1.403953","4.50134284619708E-05","-1.28863931081469E-07","-349.309757076345"
"58","1.428992","5.40494911547285E-05","-1.33343576180778E-07","-405.340044888642"
"59","1.454137","4.75168235425372E-05","-1.19785553920337E-07","-396.682421105119"
"60","1.479176","5.40256514796056E-05","-1.17345571482019E-07","-460.397872687372"
"61","1.504215","4.76360328320879E-05","-1.1913311226408E-07","-399.855522337853"
"62","1.529254","4.91619102831464E-05","-1.17459293846878E-07","-418.544234969051"
"63","1.554399","4.80890266771894E-05","-1.24014860602983E-07","-387.768259734128"
"64","1.579438","4.9972535634879E-05","-1.21309639666833E-07","-411.942000422426"
"65","1.604477","4.9781800044002E-05","-1.31583689721992E-07","-378.328044677726"
"66","1.629516","5.31196601514239E-05","-1.31835108163614E-07","-402.924993890852"
"67","1.654619","5.4478645324707E-05","-1.32845883626942E-07","-410.089073423562"
"68","1.679659","5.06877913721837E-05","-1.38006328143092E-07","-367.285993723621"
"69","1.704698","4.80651870020665E-05","-1.33013003278393E-07","-361.357053952593"
"70","1.729737","4.65154662379064E-05","-1.29817848915081E-07","-358.313333849291"
"71","1.754883","5.14030471094884E-05","-1.29827029127227E-07","-395.934863911232"
"72","1.779922","4.86850731249433E-05","-1.30074852222606E-07","-374.285054282632"
"73","1.804961","5.37157065991778E-05","-1.33325343654178E-07","-402.891941823954"
"74","1.83","5.12599945068359E-05","-1.43931032425826E-07","-356.142755616323"
"75","1.855146","5.17368316650391E-05","-1.35554557800788E-07","-381.667960889017"
"76","1.880206","4.79221343994141E-05","-1.25250934956966E-07","-382.608995420905"
"77","1.905245","4.62532043457031E-05","-1.33030056304051E-07","-347.689880247721"
"78","1.930327","5.65767295483965E-05","-1.47527330796038E-07","-383.499987718317"
"79","1.955473","4.79459777125157E-05","-1.53360360855004E-07","-312.636051749036"
"80","1.980618","6.10113165748771E-05","-1.46193272598794E-07","-417.333270473491"
"81","2.005657","5.04970557813067E-05","-1.33343576180778E-07","-378.698826202519"
"82","2.030802","5.60522094019689E-05","-1.34447574851038E-07","-416.907552732523"
"83","2.055841","5.38825988769531E-05","-1.60421251393927E-07","-335.881925921648"
"84","2.080987","5.5646898545092E-05","-1.32107018657734E-07","-421.225905409788"
"85","2.106026","5.74827208765782E-05","-1.35108592758115E-07","-425.455699768034"
"86","2.131172","5.99145896558184E-05","-1.29416591221343E-07","-462.95910818224"
"87","2.156211","5.76734564674553E-05","-1.480675990706E-07","-389.50760888583"
"88","2.181357","6.49690628051758E-05","-1.22902989119211E-07","-528.620689136846"
"89","2.206396","5.71250930079259E-05","-1.31348258491926E-07","-434.913212126353"
"90","2.23152","5.6147575378418E-05","-1.3130664910932E-07","-427.60649029793"
