"Index","SMU-1 Time (s)","SMU-1 Voltage (V)","SMU-1 Current (A)","SMU-1 Resistance (Ω)"
"1","0","-10.0029735565186","-2.06772210731287E-06","4837677.90707524"
"2","0.025039","-9.90239143371582","-2.04395178116101E-06","4844728.4935905"
"3","0.050078","-9.80158996582031","-2.02011096916976E-06","4852005.71424481"
"4","0.075117","-9.70109939575195","-1.99702503778099E-06","4857775.54723672"
"5","0.100156","-9.60059356689453","-1.97341910279647E-06","4864954.20728918"
"6","0.125195","-9.50016975402832","-1.95517532119993E-06","4858986.12314617"
"7","0.150234","-9.3997745513916","-1.93332675735292E-06","4861968.89151922"
"8","0.175273","-9.29940986633301","-1.91107278624258E-06","4866067.86161026"
"9","0.200312","-9.19898796081543","-1.89701904673711E-06","4849180.60081566"
"10","0.225351","-9.0984992980957","-1.87090631698084E-06","4863150.66420768"
"11","0.25039","-8.99766445159912","-1.84640884981491E-06","4873061.80995671"
"12","0.275429","-8.89716148376465","-1.82669759851706E-06","4870626.36475107"
"13","0.300468","-8.79667282104492","-1.80474876287917E-06","4874181.38301495"
"14","0.325508","-8.69618606567383","-1.78500056335906E-06","4871811.3843668"
"15","0.350547","-8.59564590454102","-1.76329126588826E-06","4874773.70915858"
"16","0.375586","-8.49510669708252","-1.74154638443724E-06","4877910.09932107"
"17","0.400625","-8.39464950561523","-1.72400825704244E-06","4869262.93497942"
"18","0.425664","-8.29386711120605","-1.7025303122864E-06","4871494.53454833"
"19","0.450703","-8.19340229034424","-1.6787755612313E-06","4880582.30031342"
"20","0.475742","-8.09288501739502","-1.65644883054483E-06","4885683.67954544"
"21","0.500782","-7.99242496490479","-1.63544655151782E-06","4886998.57386793"
"22","0.525821","-7.89186954498291","-1.61776654294954E-06","4878249.94241402"
"23","0.55086","-7.79141664505005","-1.5944182223393E-06","4886683.13989703"
"24","0.575899","-7.6908802986145","-1.57542820033996E-06","4881771.37933351"
"25","0.600938","-7.59036779403687","-1.55514476318785E-06","4880811.08184266"
"26","0.625977","-7.48957633972168","-1.53281564507779E-06","4886155.98605897"
"27","0.651016","-7.38913536071777","-1.51010146964836E-06","4893138.31502885"
"28","0.676055","-7.28862285614014","-1.49073594002402E-06","4889278.28225747"
"29","0.701094","-7.1881103515625","-1.47152297813591E-06","4884810.13097616"
"30","0.726133","-7.08760976791382","-1.4477133163382E-06","4895727.41227594"
"31","0.751172","-6.98713064193726","-1.42521139423479E-06","4902522.29964012"
"32","0.776211","-6.88665390014648","-1.40555732741632E-06","4899589.48370001"
"33","0.80125","-6.78584337234497","-1.38518328185455E-06","4898877.61514112"
"34","0.82629","-6.68533802032471","-1.36378162096662E-06","4902059.03756518"
"35","0.85133","-6.5848708152771","-1.34090419123822E-06","4910769.06038788"
"36","0.876369","-6.48438215255737","-1.32053128254483E-06","4910434.3367475"
"37","0.901408","-6.38389348983765","-1.30014302612835E-06","4910147.08500803"
"38","0.926447","-6.28333568572998","-1.27895350487961E-06","4912872.64295151"
"39","0.951487","-6.18291854858398","-1.25630140246358E-06","4921524.83190692"
"40","0.976526","-6.08238935470581","-1.23732559131895E-06","4915754.91316087"
"41","1.001565","-5.98150491714478","-1.2183666058263E-06","4909445.88315278"
"42","1.026604","-5.88101148605347","-1.19365927275794E-06","4926876.22026798"
"43","1.051643","-5.78053712844849","-1.17658021281386E-06","4912998.76157529"
"44","1.076682","-5.6800103187561","-1.15516536425275E-06","4917053.8647775"
"45","1.101721","-5.57955741882324","-1.13333464923926E-06","4923133.18274392"
"46","1.12676","-5.47903060913086","-1.11517431378161E-06","4913160.69731844"
"47","1.151799","-5.37854194641113","-1.09374525436579E-06","4917545.4018586"
"48","1.176838","-5.27768850326538","-1.07376570213091E-06","4915121.14122446"
"49","1.201877","-5.17720222473145","-1.05341189282626E-06","4914698.85615324"
"50","1.226916","-5.07669925689697","-1.03049751487561E-06","4926454.63342995"
"51","1.251955","-4.97618913650513","-1.01187231393851E-06","4917803.4302928"
"52","1.297578","-4.87560033798218","-7.588919288537E-07","6424630.63923572"
"53","1.322724","-4.77513790130615","-7.23160496818309E-07","6603150.92198113"
"54","1.347763","-4.67454433441162","-7.09723735781154E-07","6586428.06875637"
"55","1.372802","-4.5740532875061","-7.2017058982965E-07","6351346.96154151"
"56","1.397948","-4.47324752807617","-6.82526604123268E-07","6553953.35662004"
"57","1.422987","-4.37273263931274","-6.6660953734754E-07","6559661.08242613"
"58","1.448026","-4.27220582962036","-6.51892037240032E-07","6553548.11159827"
"59","1.473065","-4.17171239852905","-6.61914441479894E-07","6302494.91037245"
"60","1.498211","-4.07122135162354","-6.26313180873694E-07","6500296.45862516"
"61","1.52325","-3.97072553634644","-6.163832040329E-07","6441975.56060352"
"62","1.548289","-3.87025833129883","-5.99750137553201E-07","6453117.87186629"
"63","1.573328","-3.76942157745361","-6.08954678682494E-07","6189987.05389531"
"64","1.598474","-3.66888284683228","-5.70668191812729E-07","6429099.95592721"
"65","1.623513","-3.56839656829834","-5.52973745016061E-07","6453103.06404275"
"66","1.648552","-3.46788883209229","-5.39545396804897E-07","6427427.33536154"
"67","1.673591","-3.36733102798462","-5.48933599020529E-07","6134313.93886802"
"68","1.698737","-3.26684951782227","-5.12701035404461E-07","6371841.07741289"
"69","1.723776","-3.1663703918457","-4.9507463018017E-07","6395743.58858458"
"70","1.748815","-3.06583642959595","-4.83263875139528E-07","6344021.5321511"
"71","1.773854","-2.96499252319336","-4.8890723292061E-07","6064529.88122354"
"72","1.799","-2.86447525024414","-4.50213661906673E-07","6362479.62381455"
"73","1.824039","-2.76400327682495","-4.33392756349349E-07","6377594.54059021"
"74","1.849078","-2.66345739364624","-4.19386395833499E-07","6350843.56599794"
"75","1.874118","-2.5629711151123","-4.23597811050058E-07","6050482.43464466"
"76","1.899264","-2.46250152587891","-3.93369447238001E-07","6260022.3356671"
"77","1.924303","-2.36197233200073","-3.78173695025907E-07","6245734.0715856"
"78","1.949363","-2.26117134094238","-3.544809885625E-07","6378822.5995192"
"79","1.974402","-2.16066837310791","-3.67086641972492E-07","5885990.18884981"
"80","1.999548","-2.06009387969971","-3.34096313281407E-07","6166167.65227369"
"81","2.024587","-1.96044325828552","-3.21008457149219E-07","6107138.96978179"
"82","2.04969","-1.85988807678223","-2.99383884794224E-07","6212385.40631733"
"83","2.074729","-1.75935578346252","-3.05027612057529E-07","5767857.44606854"
"84","2.099875","-1.65882682800293","-2.67611625304198E-07","6198635.15315269"
"85","2.124914","-1.55830669403076","-2.60600330648231E-07","5979680.41772836"
"86","2.150017","-1.45777249336243","-2.4166607204279E-07","6032176.88374689"
"87","2.175056","-1.35724759101868","-2.34281301914052E-07","5793239.0674378"
"88","2.200138","-1.25668048858643","-2.13535074067295E-07","5885124.46526882"
"89","2.225177","-1.15615582466125","-1.89717056287009E-07","6094105.8610576"
"90","2.250216","-1.05561923980713","-1.79879791062376E-07","5868470.457813"
"91","2.275255","-0.955090761184692","-1.81687596523261E-07","5256774.70262762"
"92","2.3004","-0.854552268981934","-1.40378958235488E-07","6087466.95176645"
"93","2.325439","-0.753987789154053","-1.38476252686814E-07","5444888.74102705"
"94","2.350478","-0.653427362442017","-1.20201463005287E-07","5436101.57567945"
"95","2.375517","-0.552911758422852","-1.21726756674434E-07","4542236.8387063"
"96","2.465959","-0.452367067337036","7.92789445203113E-10","-570601778.409323"
"97","2.490999","-0.351830720901489","2.34390507003468E-09","-150104509.521063"
"98","2.516038","-0.251249313354492","4.18549772618348E-09","-60028538.9674771"
"99","2.541077","-0.150703459978104","6.41348352203863E-09","-23497910.2168489"
"100","2.566116","-0.050172995775938","7.63486607269215E-09","-6571562.00229802"
"101","2.591155","0.0503270141780376","9.39031874480634E-09","5359457.49507948"
"102","2.616194","0.150862216949463","1.17325544835012E-08","12858428.8410177"
"103","2.641233","0.251441240310669","1.25041133003378E-08","20108682.1809168"
"104","2.666272","0.351961851119995","1.45667913287184E-08","24161934.0304617"
"105","2.691311","0.452526569366455","1.55499222387334E-08","29101532.6262696"
"106","2.71635","0.55308985710144","1.7234349058981E-08","32092297.4931402"
"107","2.741389","0.653610706329346","1.74388290474781E-08","37480194.6019345"
"108","2.766428","0.754168748855591","1.91630729062808E-08","39355313.8655756"
"109","2.791467","0.854684591293335","2.09086650215795E-08","40877052.189187"
"110","2.816506","0.955235242843628","2.24534755233208E-08","42542867.8892715"
"111","2.841545","1.05574774742126","2.36228228089885E-08","44691853.9735036"
"112","2.866584","1.15630841255188","2.58129482233471E-08","44795673.9597079"
"113","2.891623","1.2568507194519","2.61308077398326E-08","48098425.8873874"
"114","2.916662","1.35736632347107","2.79250027546141E-08","48607562.7422021"
"115","2.941701","1.45791935920715","2.85131331878574E-08","51131503.1428402"
"116","2.96674","1.55843257904053","2.99309270701542E-08","52067634.7708096"
