"Index","SMU-1 Time (s)","SMU-1 Voltage (V)","SMU-1 Current (A)","SMU-1 Resistance (Ω)"
"1","0","-10.0011777877808","-2.02257160708541E-06","4944783.04389567"
"2","0.02504","-9.90067005157471","-1.99902524400386E-06","4952748.88662466"
"3","0.050079","-9.79986000061035","-1.97700137505308E-06","4956931.30225934"
"4","0.075118","-9.69937801361084","-1.95858706319996E-06","4952232.24734463"
"5","0.100157","-9.59890842437744","-1.93528876479832E-06","4959936.00488751"
"6","0.125196","-9.49848937988281","-1.9137596609653E-06","4963261.36119506"
"7","0.150235","-9.39811229705811","-1.89106219750101E-06","4969753.14163513"
"8","0.175274","-9.2977123260498","-1.87262287454359E-06","4965074.63005112"
"9","0.200313","-9.19728469848633","-1.85136434538435E-06","4967841.53881764"
"10","0.225352","-9.09682750701904","-1.83044426194101E-06","4969737.50917317"
"11","0.250391","-8.9959888458252","-1.81303971658053E-06","4961826.68452073"
"12","0.27543","-8.8955192565918","-1.78849097665079E-06","4973756.8557656"
"13","0.30047","-8.79506874084473","-1.76562184606155E-06","4981286.76900055"
"14","0.325509","-8.694580078125","-1.74510716988152E-06","4982261.39241368"
"15","0.350548","-8.59407615661621","-1.72569866663252E-06","4980056.09136062"
"16","0.375587","-8.49356842041016","-1.704670125946E-06","4982529.04836747"
"17","0.400626","-8.39307022094727","-1.6839301224536E-06","4984215.26465598"
"18","0.425666","-8.29228591918945","-1.66211725627363E-06","4988989.72854675"
"19","0.450705","-8.19180965423584","-1.64308903549681E-06","4985615.19020722"
"20","0.475744","-8.09131145477295","-1.62184471719229E-06","4988955.7051926"
"21","0.500783","-7.99087047576904","-1.59942260324897E-06","4996097.00371677"
"22","0.525822","-7.89039611816406","-1.58066393396439E-06","4991823.97258507"
"23","0.550861","-7.78990983963013","-1.56215310198604E-06","4986649.40697966"
"24","0.5759","-7.68944025039673","-1.53982637129957E-06","4993706.03966671"
"25","0.600939","-7.58880138397217","-1.51859876496019E-06","4997239.27022364"
"26","0.625978","-7.48812913894653","-1.49716254327359E-06","5001547.20847713"
"27","0.651017","-7.38764762878418","-1.4777576780034E-06","4999228.045809"
"28","0.676056","-7.28713512420654","-1.45633930515032E-06","5003734.43086765"
"29","0.701095","-7.1867036819458","-1.43691181619943E-06","5001492.50700321"
"30","0.726134","-7.08621978759766","-1.41403199904744E-06","5011357.44620439"
"31","0.751173","-6.98574542999268","-1.39587041303457E-06","5004580.19939395"
"32","0.776212","-6.88526153564453","-1.37615916173672E-06","5003245.06574899"
"33","0.801251","-6.78447484970093","-1.35360596686951E-06","5012149.0417122"
"34","0.82629","-6.6839599609375","-1.33169055516191E-06","5019153.98816119"
"35","0.851329","-6.58348083496094","-1.31148101445433E-06","5019882.68408151"
"36","0.876368","-6.48303270339966","-1.29280090277462E-06","5014718.57691756"
"37","0.901407","-6.38251781463623","-1.26895065477584E-06","5029760.44861549"
"38","0.926446","-6.28201723098755","-1.24957080060994E-06","5027339.96978895"
"39","0.951485","-6.18154048919678","-1.23000017993036E-06","5025641.93896848"
"40","0.976524","-6.08109951019287","-1.20928643809748E-06","5028667.58330642"
"41","1.001563","-5.98022699356079","-1.18587252018187E-06","5042891.95658537"
"42","1.026602","-5.87976932525635","-1.16689682272408E-06","5038808.23972955"
"43","1.051641","-5.77924489974976","-1.14709735044016E-06","5038146.84737276"
"44","1.07668","-5.6787371635437","-1.124683535636E-06","5049186.7121825"
"45","1.101719","-5.57828426361084","-1.10400083030981E-06","5052789.9168748"
"46","1.126758","-5.47781229019165","-1.08538267795666E-06","5046894.88918708"
"47","1.151797","-5.37730693817139","-1.06754896478378E-06","5037058.82873531"
"48","1.176836","-5.27650356292725","-1.04594710137462E-06","5044713.59592915"
"49","1.201875","-5.17600536346436","-1.02468607110495E-06","5051308.40500535"
"50","1.226914","-5.07554054260254","-1.00599879715446E-06","5045274.9615199"
"51","1.272563","-4.97493267059326","-7.59002318773128E-07","6554568.47435576"
"52","1.297709","-4.8744797706604","-7.21259254987672E-07","6758290.77679387"
"53","1.322748","-4.77398633956909","-7.07650087861111E-07","6746252.73346404"
"54","1.347787","-4.67348098754883","-6.93019956088392E-07","6743645.61437354"
"55","1.372826","-4.57295656204224","-7.02512863881566E-07","6509427.50966219"
"56","1.397972","-4.47219610214233","-6.64083813717298E-07","6734385.04261777"
"57","1.423011","-4.37164068222046","-6.52529024591786E-07","6699534.45359048"
"58","1.44805","-4.27116632461548","-6.38356709714571E-07","6690877.15319111"
"59","1.473089","-4.17068243026733","-6.45997999981773E-07","6456184.74110602"
"60","1.498234","-4.07019138336182","-6.07853394285485E-07","6696008.31652214"
"61","1.523273","-3.96968126296997","-5.96361758198327E-07","6656498.69126888"
"62","1.548312","-3.86922836303711","-5.81520055220608E-07","6653645.61084529"
"63","1.573351","-3.76842975616455","-5.87757256198529E-07","6411541.01701413"
"64","1.598497","-3.66787910461426","-5.51647531210619E-07","6648954.082265"
"65","1.623536","-3.56743335723877","-5.38520907866769E-07","6624502.97681174"
"66","1.648575","-3.46695899963379","-5.22168647876242E-07","6639538.8036692"
"67","1.673614","-3.36637020111084","-5.31275247794838E-07","6336395.7102907"
"68","1.69876","-3.26590538024902","-4.92367746574018E-07","6633061.16814874"
"69","1.723799","-3.16547870635986","-4.80704898109252E-07","6585076.87109198"
"70","1.748838","-3.06493520736694","-4.65924017589714E-07","6578186.76792464"
"71","1.773877","-2.96413421630859","-4.7125482183219E-07","6289875.62352009"
"72","1.799022","-2.86361455917358","-4.37430855981802E-07","6546439.32867122"
"73","1.824061","-2.76314735412598","-4.22895084284391E-07","6533883.83268082"
"74","1.8491","-2.66267061233521","-4.10284513918668E-07","6489815.04786464"
"75","1.874139","-2.56216526031494","-4.14765821687979E-07","6177377.99582342"
"76","1.899286","-2.4616813659668","-3.76347884412098E-07","6540973.04097311"
"77","1.924325","-2.36116170883179","-3.58418702717245E-07","6587719.03065142"
"78","1.949364","-2.26037502288818","-3.46971035014576E-07","6514592.84719033"
"79","1.974403","-2.15990304946899","-3.51054069369638E-07","6152622.16828129"
"80","1.999549","-2.05931186676025","-3.12744390384978E-07","6584648.45436655"
"81","2.024588","-1.9601514339447","-3.02706837373989E-07","6475411.82402486"
"82","2.049627","-1.85960745811462","-2.94265618094869E-07","6319486.01455404"
"83","2.074687","-1.75909185409546","-2.96465742621876E-07","5933541.72572671"
"84","2.099833","-1.65857172012329","-2.5546538040544E-07","6492354.14008361"
"85","2.124872","-1.55806565284729","-2.39616383623797E-07","6502333.56035239"
"86","2.149911","-1.45753574371338","-2.30523468758292E-07","6322721.72358134"
"87","2.17495","-1.35703325271606","-2.34412070199141E-07","5789092.90619385"
"88","2.200096","-1.25646924972534","-2.03876496129851E-07","6162894.07350361"
"89","2.225135","-1.15596652030945","-1.84026831107076E-07","6281510.76316067"
"90","2.250174","-1.05543923377991","-1.74485919046674E-07","6048850.47198326"
"91","2.275213","-0.954911470413208","-1.61625976602409E-07","5908155.9195292"
"92","2.300273","-0.85441517829895","-1.43365383564742E-07","5959703.50062299"
"93","2.325312","-0.753838539123535","-1.28784890307543E-07","5853470.36693002"
"94","2.350351","-0.6533043384552","-1.1951422607126E-07","5466331.1635024"
"95","2.375411","-0.55279541015625","-1.0081708268217E-07","5483152.21438178"
"96","2.465757","-0.452263116836548","3.21362025879068E-09","-140733216.875705"
"97","2.490796","-0.351727962493896","2.07664974105626E-09","-169372790.962329"
"98","2.515835","-0.251173257827759","6.84444900755921E-09","-36697367.1000187"
"99","2.540874","-0.150641441345215","7.93632271012257E-09","-18981264.6042072"
"100","2.565913","-0.0501214265823364","8.36236502266274E-09","-5993690.35512118"
"101","2.590952","0.0503062270581722","7.59401341809962E-09","6624458.54233969"
"102","2.615991","0.150832921266556","9.55374268585274E-09","15787835.8488669"
"103","2.64103","0.251374483108521","1.13020064418379E-08","22241580.2364065"
"104","2.666069","0.351889371871948","1.27679351535903E-08","27560397.7964282"
"105","2.691108","0.452433347702026","1.25999575217861E-08","35907529.602361"
"106","2.716147","0.552993535995483","1.31068826902947E-08","42191079.9892152"
"107","2.741186","0.653496503829956","1.79867747363005E-08","36332055.8249437"
"108","2.766225","0.754056215286255","1.80848367392628E-08","41695494.7483255"
"109","2.791264","0.854547262191772","1.97129370604898E-08","43349565.7988236"
"110","2.816303","0.955093860626221","2.04196339836926E-08","46773309.5210703"
"111","2.841342","1.05559086799622","2.1205652345202E-08","49778750.0621293"
"112","2.866381","1.15613102912903","2.38112569661553E-08","48553968.8548288"
"113","2.89142","1.25666093826294","2.40947972685035E-08","52154866.6402616"
"114","2.916459","1.35717487335205","2.68280633264339E-08","50587880.9378988"
"115","2.941498","1.45770978927612","2.83369185893889E-08","51442071.3980517"
"116","2.966537","1.55819869041443","2.86849495267916E-08","54321123.6596069"
"117","2.991576","1.65874004364014","3.05727958505031E-08","54255425.3706843"
"118","3.016615","1.75923991203308","3.1734465721911E-08","55436254.3062579"
"119","3.041654","1.85977363586426","2.99978850648586E-08","61996825.170949"
"120","3.066693","1.96027112007141","3.35396066475369E-08","58446455.2811138"
"121","3.091732","2.06123113632202","3.53611824266409E-08","58290786.5311965"
"122","3.116771","2.16180324554443","3.48666091554151E-08","62002107.4004751"
