Run History Comment: 70 degree
"Index","SMU-1 Time (s)","SMU-1 Voltage (V)","SMU-1 Current (A)","SMU-1 Resistance (Ω)"
"1","0","-10.001895904541","-4.86346471006982E-06","2056537.16039762"
"2","0.025039","-9.90138244628906","-4.83502844872419E-06","2047843.67895534"
"3","0.050079","-9.80054378509521","-4.83006124341046E-06","2029072.36393035"
"4","0.075118","-9.7001314163208","-4.75003844258026E-06","2042116.40254676"
"5","0.100157","-9.59964275360107","-4.70781787953456E-06","2039085.4105321"
"6","0.125196","-9.49919891357422","-4.68774305772968E-06","2026390.69517918"
"7","0.150235","-9.39882278442383","-4.61129275208805E-06","2038218.62755687"
"8","0.175274","-9.29841995239258","-4.57659371022601E-06","2031733.76120674"
"9","0.200313","-9.19800567626953","-4.5584320105263E-06","2017800.34341404"
"10","0.225352","-9.09753608703613","-4.50109837402124E-06","2021181.34976652"
"11","0.250391","-8.99675846099854","-4.46197009296156E-06","2016319.75866227"
"12","0.27543","-8.89625072479248","-4.39431414633873E-06","2024491.29227702"
"13","0.300469","-8.79579544067383","-4.35851916336105E-06","2018069.69546303"
"14","0.325508","-8.69535446166992","-4.302420620661E-06","2021037.74324464"
"15","0.350547","-8.59481620788574","-4.25443658969016E-06","2020200.80137372"
"16","0.375586","-8.49430561065674","-4.21583990828367E-06","2014854.8795618"
"17","0.400625","-8.3938045501709","-4.15276144849486E-06","2021258.54188258"
"18","0.425664","-8.29300689697266","-4.11529390476062E-06","2015167.58921622"
"19","0.450703","-8.19261360168457","-4.06445951739443E-06","2015671.1037773"
"20","0.475742","-8.09206199645996","-4.02348496209015E-06","2011207.21779863"
"21","0.500781","-7.99161911010742","-4.00214548790245E-06","1996833.73187312"
"22","0.52582","-7.89114236831665","-3.92024139728164E-06","2012922.56486769"
"23","0.550859","-7.79064416885376","-3.9061392271833E-06","1994461.46584784"
"24","0.575898","-7.69015073776245","-3.81720883524395E-06","2014600.47633757"
"25","0.600937","-7.58973360061646","-3.77679702978639E-06","2009568.83326232"
"26","0.625976","-7.48889446258545","-3.71308669855352E-06","2016891.89361047"
"27","0.651015","-7.3884129524231","-3.64956599696598E-06","2024463.44539744"
"28","0.676054","-7.28788137435913","-3.64678976438881E-06","1998437.4875475"
"29","0.701093","-7.18742609024048","-3.59664181814878E-06","1998371.38465456"
"30","0.726132","-7.08694458007813","-3.52688653038058E-06","2009405.32649157"
"31","0.751171","-6.98646783828735","-3.46531851391774E-06","2016111.30700617"
"32","0.77621","-6.88598394393921","-3.45881562680006E-06","1990850.24670997"
"33","0.801249","-6.78518772125244","-3.37718597620551E-06","2009124.68814526"
"34","0.826289","-6.68473720550537","-3.34761602971412E-06","1996864.9767985"
"35","0.851328","-6.58426761627197","-3.28021883433394E-06","2007264.7432405"
"36","0.876367","-6.48380279541016","-3.22636128657905E-06","2009633.21199685"
"37","0.901406","-6.38327121734619","-3.18064076054725E-06","2006913.60575028"
"38","0.926446","-6.28281593322754","-3.14777594212501E-06","1995953.98425535"
"39","0.951485","-6.1823582649231","-3.08816538563406E-06","2001951.80403324"
"40","0.976524","-6.08189105987549","-3.04520472127479E-06","1997202.68965348"
"41","1.001563","-5.9810471534729","-2.99235466627579E-06","1998776.15473863"
"42","1.026602","-5.8805513381958","-2.92937738777255E-06","2007440.68099306"
"43","1.051641","-5.78011035919189","-2.88479077426018E-06","2003649.76578734"
"44","1.076679","-5.67955732345581","-2.84295902019949E-06","1997762.64205781"
"45","1.101718","-5.57910680770874","-2.79984237749886E-06","1992650.31936999"
"46","1.126757","-5.47861576080322","-2.73187515631435E-06","2005441.48151872"
"47","1.151796","-5.37813425064087","-2.67537120635097E-06","2010238.5186302"
