Run History Comment: 70 degree
"Index","SMU-1 Time (s)","SMU-1 Voltage (V)","SMU-1 Current (A)","SMU-1 Resistance (Ω)"
"1","0","-9.99845695495605","-4.61807849205798E-06","2165068.64752322"
"2","0.02504","-9.89799690246582","-4.55614917882485E-06","2172447.94100854"
"3","0.050079","-9.79721069335938","-4.54849941888824E-06","2153943.48577361"
"4","0.075118","-9.69672966003418","-4.5137512643123E-06","2148264.0695558"
"5","0.100157","-9.59627628326416","-4.45888508693315E-06","2152169.45406066"
"6","0.125196","-9.49586868286133","-4.43394401372643E-06","2141630.26268811"
"7","0.150235","-9.39552783966064","-4.33754303230671E-06","2166094.43864447"
"8","0.175274","-9.29510116577148","-4.37337848779862E-06","2125382.28550401"
"9","0.200313","-9.19473648071289","-4.33309560321504E-06","2121978.6782204"
"10","0.225352","-9.09425258636475","-4.29960482506431E-06","2115136.84544922"
"11","0.250391","-8.9935474395752","-4.2630490497686E-06","2109651.4101951"
"12","0.27543","-8.89301776885986","-4.17705177824246E-06","2129017.84344213"
"13","0.300469","-8.79264640808105","-4.17887213188806E-06","2104071.65631757"
"14","0.325508","-8.69219589233398","-4.08459300160757E-06","2128044.55398934"
"15","0.350547","-8.59169006347656","-4.04842012358131E-06","2122232.82199185"
"16","0.375586","-8.49119663238525","-4.02036039304221E-06","2112048.6230738"
"17","0.400625","-8.39075565338135","-3.96668201574357E-06","2115308.36605476"
"18","0.425664","-8.28990936279297","-3.94746530218981E-06","2100058.8296987"
"19","0.450703","-8.18957138061523","-3.90095920010936E-06","2099373.7592502"
"20","0.475742","-8.08905124664307","-3.84808754461119E-06","2102096.4707445"
"21","0.500781","-7.98862934112549","-3.80713936465327E-06","2098328.5811112"
"22","0.52582","-7.88815498352051","-3.80124674848048E-06","2075149.4195092"
"23","0.550859","-7.78771638870239","-3.7127147152205E-06","2097580.06904656"
"24","0.575898","-7.68715620040894","-3.69881149708817E-06","2078277.36192031"
"25","0.600936","-7.58672952651978","-3.60231638296682E-06","2106069.73956892"
"26","0.625975","-7.48598337173462","-3.59216801371076E-06","2083973.61792704"
"27","0.651014","-7.38558769226074","-3.56415375790675E-06","2072185.48747413"
"28","0.676053","-7.28500604629517","-3.50826371686708E-06","2076527.4888744"
"29","0.701092","-7.18462944030762","-3.46663114214607E-06","2072510.49959122"
"30","0.726131","-7.08418369293213","-3.40026849698916E-06","2083418.91212561"
"31","0.75117","-6.98372602462769","-3.40348583449668E-06","2051933.330776"
"32","0.776209","-6.88320875167847","-3.31598630509689E-06","2075765.1324128"
"33","0.801248","-6.78246736526489","-3.2924579045357E-06","2060001.23977936"
"34","0.826287","-6.68195962905884","-3.26554413732083E-06","2046200.98460557"
