Run History Comment: 40 degree
"Index","SMU-1 Time (s)","SMU-1 Voltage (V)","SMU-1 Current (A)","SMU-1 Resistance (Ω)"
"1","0","-10.0044651031494","-2.49982463174092E-06","4002066.77545302"
"2","0.025039","-9.90391731262207","-2.47963293986686E-06","3994106.20555551"
"3","0.050078","-9.80312538146973","-2.42020473706361E-06","4050535.57302084"
"4","0.075117","-9.70256614685059","-2.37278686654463E-06","4089101.42063452"
"5","0.100156","-9.60211753845215","-2.37394556279469E-06","4044792.6392837"
"6","0.125195","-9.50162124633789","-2.3451209472114E-06","4051655.10019274"
"7","0.150235","-9.4012451171875","-2.33458149523358E-06","4026950.9273425"
"8","0.175274","-9.30079936981201","-2.30957630265038E-06","4027058.71165146"
"9","0.200313","-9.20034217834473","-2.26097449740337E-06","4069193.25667358"
"10","0.225352","-9.09988403320313","-2.2363042262441E-06","4069161.93530899"
"11","0.250391","-8.99908065795898","-2.22784160541778E-06","4039371.84585949"
"12","0.27543","-8.89855194091797","-2.18164791476738E-06","4078821.28031955"
"13","0.300469","-8.7980318069458","-2.16077319237229E-06","4071705.3682467"
"14","0.325508","-8.69758415222168","-2.14353190131078E-06","4057594.91934926"
"15","0.350547","-8.59698486328125","-2.10999360206188E-06","4074412.76356493"
"16","0.375586","-8.49648284912109","-2.08272217605554E-06","4079508.51381078"
"17","0.400625","-8.39594650268555","-2.05367564376502E-06","4088253.43387391"
"18","0.425664","-8.29514694213867","-2.02878709387733E-06","4088722.25536755"
"19","0.450703","-8.19465827941895","-2.00438012143422E-06","4088375.34945981"
"20","0.475742","-8.09413909912109","-1.96497785509564E-06","4119201.17986629"
"21","0.500782","-7.9936408996582","-1.9508479454089E-06","4097521.24375985"
"22","0.525821","-7.89314031600952","-1.92201491699961E-06","4106700.86178686"
"23","0.550861","-7.79265403747559","-1.8973219084728E-06","4107186.03030735"
"24","0.5759","-7.69213914871216","-1.84661621460691E-06","4165532.11645528"
"25","0.600939","-7.59164810180664","-1.84564464689174E-06","4113277.2305827"
"26","0.625978","-7.49080181121826","-1.78630352820619E-06","4193465.27224326"
"27","0.651017","-7.39031314849854","-1.77545541646396E-06","4162488.72259337"
"28","0.676056","-7.28980779647827","-1.74492231508339E-06","4177726.27094285"
"29","0.701095","-7.18926191329956","-1.7028557977028E-06","4221885.33109973"
"30","0.726135","-7.08878040313721","-1.69158340668218E-06","4190618.31366678"
"31","0.751174","-6.98825359344482","-1.65385119998973E-06","4225442.76866517"
